Label	Question	Meta	Answer	URL	View	Category	Subcategory	Subcat 1	Subcat 2	Subcat 3	Subcat 4	Subcat 5	Subcat 6	Subcat 7	Subcat 8	Subcat 9	Last Edited	Editing User
bg220	How do I update my account details?	mail address postal post change amend amendment alter telephone phone number email date change add	"You can update your address, email address and telephone number on our website by logging in to your account and then clicking 'Update my details'.If you've changed your name, please send us your new details, including your Avios membership number, your address and one of the following as proof of your name change: marriage certificate, deed poll or decree absolute (scanned or photocopied documents are accepted).Please send them by email to help@avios.com If you'd like to chat with us about your Avios account, click here to Live Chat with one of our agents. We're open 7 days a week, from 8am - 8pm Monday to Friday, 9am - 5pm Saturday and 10am - 4pm Sunday.To protect your data, we do not pass your change of details to Avios partners. If you're collecting Avios, e.g. with Lloyds TSB or Tesco, please give them your new details directly."		GBMOB;GBWEB	Account Information	My Account										08/07/2015	Emma Simpson
bg215	How do I create a Household account?	combine family joint merge house husband wife share house accounts spouse	It's easy to create a household account - just follow the steps below: - Log-in to your account- Hold your mouse over the 'My Account' tab- Click on 'Create Household Account'- Follow the steps on screenAll members wanting to join your household Account will need to live at the same address.  Please note; only members who hold individual accounts with us and aren't part of a household account can use the Combine my Avios tool to transfer Avios to a British Airways Executive Club or Iberia Club account. 		GBMOB;GBWEB	Account Information	Household Account										14/01/2014	
qed031	Why does the Combine My Avios option not appear on my account?	"transfer, CMA, "	"If you are part of a household account, it's not possible to combine Avios. Therefore the combine Avios option will not appear. Before combining your Avios you'll need to split your household account and revert back to individual memberships.You can download a form to split your household account online. To do this log into your account online, hover over 'My Account' and click on 'Create Household account', click on Remove a Member or Close your household account at the bottom of the screen. A form will then be downloaded, once you have completed the form you can send it to us by emailing - help@avios.comIf you do not have a household account and the link still does not appear, it may be that your date of birth is missing from your account or that some of the details we hold for you don't match those on your Executive Club or Iberia account. Click here to speak to us via our Live Chat service and we'll be happy to help. We're open 7 days a week, from 8am - 8pm Monday to Friday, 9am - 5pm Saturday and 10am - 4pm Sunday. If you prefer, you can also contact us by phone on 0344 49 33 49."		GBMOB;GBWEB	Account Information	Transfer Avios										08/07/2015	Emma Simpson
za122	Can I transfer the Avios in my Iberia Plus and Avios accounts?	"merge, move"	"You can transfer Avios from a Iberia Plus account to an Avios account in your name. This won't happen automatically, but you can do it yourself.Just log in and hover over the 'My Accounts' tab, Under 'Your Accounts', click on 'Combine My Avios' and follow the steps (please note that the combine my Avios tool isn't currently available on a mobile). You can do it as many times as you wantYou can move them back againYou can use the Avios straight awayYou will only be able to transfer the Avios if your Iberia account has been open for more than 3 months and all the details in the accounts match. These details would be your name, address, date of birth and email address. "		GBMOB;GBWEB;ZAWEB;ZAMOB	Account Information	Merge Account										18/09/2014	Emma Simpson
qed266	What can I do with my Avios Card?		At the moment you can only use your card to collect on British Airways and Iberia flights. You can find your membership number easily by keeping your card in your wallet. And we're working on new ways to use your card to collect in the future - so make sure you're signed up for our emails to get our latest news.		ZAWEB;ZAMOB	Account Information	Avios Card										16/02/2016	Alicia Price
bg4	How do I close my Avios account?	"closing, terminate, unsubscribe, terminating, cancel delete, discontinue, resig"	"You can do this by contacting us via Live Chat, email or telephone.You will need to give us your membership number or full name and address to allow us to find your account."		GBMOB;GBWEB	Account Information	My Account										16/02/2016	Alicia Price
qed304	Why is my postcode not recognised?		"Avios Travel Rewards Programme currently runs schemes for UK and South African residents. Please ensure that you're using the correct website for the scheme you wish to join.If you live in South Africa, you can join us at www.avios.com/southafricaIf you live in the UK, you can join us at www.avios.com/uk"		GBMOB;GBWEB;ZAWEB;ZAMOB	Account Information	My Account										16/02/2016	Alicia Price
bg3	Can I change my address if I'm moving overseas?	move emigrate emigrating	"If you're moving abroad, but intend on coming back to the United Kingdom and using your Avios account again, we can put a mail stop on your account. However, you'll still only be able to collect Avios if you're resident in the United Kingdom."		GBMOB;GBWEB	Account Information	My Account										16/02/2016	Alicia Price
qed320	Can I have more than one Avios card?	extra another	"We encourage anyone wishing to collect Avios to create their own account and use their own membership card. To collect on flights, the name on your membership card must match that on your flight, so each person wishing to collect Avios will need their own account and personal Member ID.If you've picked up an extra card from a BP garage, you can link this to your existing account by following the activation instructions on the sticker attached to the front of your card. If you need any help in activating your membership card, please click here to open our Contact Us page and see all the ways you can get in touch with us.If you've received a second membership card in the post that you weren't expecting, with a different membership number, please contact us so we can ensure your accounts are merged."		ZAWEB;ZAMOB	Account Information	Avios Card										16/02/2016	Alicia Price
qed058	What is my membership number?	account member ID collector memberID	"Your Avios membership (account) number is 16 digits long and starts 308147.Your Avios Member ID (used to collect Avios on British Airways and Iberia flights) is digits 7-15.If you don't know yours, you can:Log in to your account online - your number is on the 'My Account' pageCheck emails or letters from us - we usually include your membership number on theseCheck your Avios Card (if you have one)Click here to open a Live Chat with an agentContact us by telephone, email or postWe're open Monday - Friday 8am - 8pm, Saturday 9am - 5pm; and Sunday 10am - 4pm."		GBMOB;GBWEB	Account Information	My Account										16/02/2016	Alicia Price
za15	How do I update my account if I've changed my name?		"Please send us your new details, including your Avios membership number, your address and one of the following as proof of your name change: marriage certificate, deed poll or decree absolute (scanned or photocopied documents are accepted). Please send them by email to help@avios.com"		ZAWEB;ZAMOB	Account Information	My Account										16/02/2016	Alicia Price
bg216	How do I add another account to my existing Household account?	family addition house additional	"You'll need to download our form and post it to us or you can also scan and email it back to us at help@avios.comLog in to our website, go to 'My Account tab', then select 'Create household account' and then 'Add a member to an existing Household account'."		GBMOB;GBWEB	Account Information	Household Account										16/02/2016	Alicia Price
bg245	How do I put someone else in charge of my account?	"ominee, nomination, nominate, attorney"	"If a Household account is not suitable (e.g. you have a Power of Attorney in place, or you don't have a suitable person at the same address as you), we have a 'nominee' facility available. Please call us on 0344 49 33 49 or email help@avios.com for a copy of our form (we cannot accept photocopies or faxed forms)."		GBMOB;GBWEB	Account Information	My Account										16/02/2016	Alicia Price
qed029	"How do I transfer Avios to my British Airways Executive Club or Iberia Plus account, if I have a household account?"		"It is not possible to combine Avios if you are part of a household account. Before combining your Avios you will need to split your household account and revert back to individual memberships. To do this  download the 'Close household account' form, fill it out and ensure all members sign it before returning it to us at the address printed on the form. You may also scan and email the form back to us at help@avios.com.If you're unable to download the form or if you have any questions, please contact us and we will forward you a copy for all members of the household to sign, which will then allow you to split your account."		GBMOB;GBWEB	Account Information	Transfer Avios										16/02/2016	Alicia Price
bg221	How can I check my account balance?	"statement, statements, history, view, miles, points, many, transaction, collect, collected, balance, total, avios, activity, accounts"	"You can check your Avios balance and your last 12 months' transactions whenever you want. Just log in to your account and then click on 'My account' to view your up-to-date balance.  If you haven't done so already, you can set up your username and password on our website here."		GBMOB;GBWEB	Account Information	My Account										23/01/2014	
qed287	Can I collect Avios in more than one place and have them go into the same account?	multi multiple	"Yes. Your Avios should end up in the same account, as each partner will use the existing information they have for you and add this to your existing Avios account. If you have more than one Avios account in the same name, please contact us and we'll merge the accounts for you.(Please note, you can only merge your accounts if the name on the two accounts match exactly)."		ZAWEB;ZAMOB	Account Information	Merge Account										16/02/2016	Alicia Price
za115	"I'm not an Avios member, how do I join?"	membership conditions age terms joining start begi	"Just go to the 'My Account' tab on our website and click 'Join Avios' to create your account. Once you have collected one Avios, we'll send you a welcome letter along with your membership card. To see all the ways that you can collect Avios with us, visit our collection pages by clicking here. To become a member you must be a South African resident and at least 18 years of age. Read the full terms and conditions by clicking here.  "		ZAWEB;ZAMOB	Account Information	Avios Card										26/11/2014	Emma Simpson
qed305	Why can't I combine my Avios?	"combine, transfer, BA, exec, executive, link error, CMA"	"To combine your Avios, all the details on your British Airways and Avios accounts must match and you must have an individual account with us (not a household account). These details would be your name, address, date of birth and your email address. If the 'Combine my Avios' link does not appear, it may be that your date of birth is missing from your account, or you may be part of a household account.Please contact us and we'll be happy to help.Combine my Avios tool isn't currently available on mobile devices. Please note: Moving Avios between your accounts doesn't count as collection and therefore won't affect whether you're eligible for the Reward Flight Saver. "		GBMOB;GBWEB	Account Information	Merge Account										26/09/2014	Emma Simpson
za108	How do my Avios get to my account?		"This differs depending on who you are collecting Avios with:Any Avios collected on your Avios Credit card are automatically added to your Avios account within 8 weeks.With Pick n Pay you need to switch your smartshopper points for Avios. Avios are then added to your account within 30 days.With BP, swipe your Avios card when you pay and Avios will be added to your account within 30 days. To see all the ways to collect with Avios go to the Collect tab on our website."		ZAWEB;ZAMOB	Account Information	My Account										19/11/2013	Alicia Price
bg218	Can I merge my UK Avios accounts?	"combining, combine, merging, group, grouping"	"If you have more than one Avios account in your name under the Avios UK scheme, you can merge them. The accounts must be held in identical names and titles and be registered to identical addresses. To merge your accounts, click here to chat with us via our Live Chat service. We're open 7 days a week, from 8am - 8pm weekdays, 9am - 5pm Saturdays and 10am - 4pm Sundays. If you'd prefer to contact us another way, please click here to see all the ways to get in touch. If the accounts are registered to different people who live at the same address, you can combine the balances by creating a household account. To do this log into your account, hover over 'My account' and click 'Create household account'. "		GBMOB;GBWEB	Account Information	Merge Account										26/03/2015	Alicia Price
bg125	"My Avios haven't appeared on my account, what should I do?"	"missing, lost, not had, receive, received, long, missing avios, retrospective"	"If you're missing Avios, please use the Missing Avios tool. If you'd like to chat with us about your Avios account, click here to Live Chat with one of our agents. We're open 7 days a week, from 8am - 8pm Monday to Friday, 9am - 5pm Saturday and 10am - 4pm Sunday. Alternatively, any queries relating to the award of Avios should be addressed to Avios Group (AGL) Ltd as set out under the Terms and Conditions. Click here to see all the ways to get in touch. "		GBMOB;GBWEB	Account Information	Missing Avios										26/03/2015	Alicia Price
qed006	Can I get another Avios Card for my Household Account?	"membership, joint, family"	Avios cards are no longer available and are not required to collect or spend Avios.		GBMOB;GBWEB	Account Information	Avios Card										20/04/2016	Daniel Patterson
qed008	Why don't I have an Avios Card?	membershipcard membership	We do not offer an Avios card to new members and a card is not required to collect or spend Avios. You can still find your membership number in your account or on any email we've sent you.		GBMOB;GBWEB	Account Information	Avios Card										20/04/2016	Daniel Patterson
qed010	"I'm not an Avios member, how do I join?"	"rejoin, new membership, age, 18, terms conditions become joining"	Click here to Join Avios to create your account.Once you have created your account you will be given a membership number that you can use to start collecting straight away.If you already have a membership number but have never set up an account online you can set up your online account here.To become a member you must be a resident of the United Kingdom and at least 18 years of age.We do not offer an Avios card to new members and a card is not required to collect or spend Avios.		GBMOB;GBWEB	Account Information	Avios Card										20/04/2016	Daniel Patterson
qed012	"I'm an Iberia Plus member, do I need to join Avios?"		"Iberia Plus operate their own frequent flyer scheme that rewards its members with the Avios currency. Iberia Plus is a separate Avios scheme, so you do not need to join our scheme to collect or spend Avios with an Iberia Plus account. For any information relating to your Iberia Plus account, please contact them directly. If you're a UK resident and would like to join the Avios Travel Rewards Programme as well, you can click the Join Now button at www.avios.com to create your account. You can then start collecting with our collection partners too.  Your account with us will be separate to your Iberia Plus account, but you'll be able to merge or transfer your Avios balance between the schemes using our Combine my Avios tool. "		GBMOB	Account Information	Avios Card										20/04/2016	Daniel Patterson
qed018	How do I use my card to collect Avios?	ear	We no longer issue Avios cards and an Avios card is no longer required to collect or spend Avios.		GBMOB;GBWEB	Account Information	Avios Card										20/04/2016	Daniel Patterson
za12	What is my membership number?	"member, ID, account, 308147"	"Your Avios membership (account) number is 16 digits long and starts 308147. Your Avios Member ID (used to collect Avios on British Airways and Iberia flights) is digits 7-15. If you don't know yours, you could: Log in to your account online - your number is on the My Account page.Check emails or letters from us - we usually include your membership number on these.Give us a call on 0214 277 555. We're open Monday to Friday: 8am - 6.30pm. Saturday, Sunday and bank holidays: 9am - 1pm."		ZAWEB;ZAMOB	Account Information	Avios Card										24/02/2016	Alicia Price
za118	Where are the Avios I collected using my Avios Card?	missing lost	"If you are missing Avios, please use the Missing Avios tool. Here you can check how long it takes for your Avios to be added to your account, depending on where you're collecting. Please allow the relevant amount of time before claiming your missing Avios."		ZAWEB;ZAMOB	Account Information	Avios Card										03/04/2014	Emma Simpson
za10	How do I close my Avios account?	cancel closure terminate discontinue close delete	"You can close your account, by calling us on 0214 277 555, email us at help@avios.com or Chat to us on Live Web Chat."		ZAWEB;ZAMOB	Account Information	My Account										04/07/2016	Alicia Price
za114	"I'm a British Airways Executive Club member, do I need to join Avios?"	tier lifetime	"No - we are a separate Avios scheme. To collect with the British Airways Executive Club, you can continue to use your existing Executive Club card to collect Avios when you fly. If you want to join Avios and collect with our partners, just go to the 'My Account' tab on our website and click 'Join Avios'.If you are a member of both schemes, you can transfer Avios between your accounts by using our combine my Avios tool. This can be accessed by logging in to your account, holding your mouse over 'My Account' and then clicking on 'Combine my Avios'. "		GBMOB;GBWEB;ZAWEB;ZAMOB	Account Information	Avios Card										20/04/2016	Daniel Patterson
za7	How do I get in touch about my Avios Card?	contact ring email membership help advise telephone call	"There are many ways to get in touch. You can call us on 0214 277 555, email us at help@avios.com or click here to use our Live Chat Service. We're open Monday to Friday: 8am - 6.30pm and Saturday: 9am -1pm."		ZAWEB;ZAMOB	Account Information	Avios Card										23/09/2015	Alicia Price
za14	"How do I change my address, email address and telephone number?"	update personal details 	"You can update your address, email address and telephone number by emailing, writing, or calling us. Our contact details are below:Chat to us on Live Web ChatEmail us: help@avios.comPhone: 0214 277 555 To protect your data, we do not pass your change of details to Avios partners. If you're collecting Avios, e.g. with Pick n Pay or ABSA, please give them your new details directly."		ZAWEB;ZAMOB	Account Information	My Account										23/09/2015	Alicia Price
za5	What do I do if my Avios Card isn't working?	faulty broken not swiping 	"You'll need to request a replacement card. Just email us at help@avios.com or call us on 0214 277 555 and we'll send you a new one. We're open Monday to Friday, 8am - 6.30pm. Saturday, Sunday and bank holidays: 9am - 1pm."		ZAWEB;ZAMOB	Account Information	Avios Card										23/09/2015	Alicia Price
za11	Why am I getting an error message when transferring my Avios from British Airways or Iberia?		"You may be receiving an error message if all the details on your accounts don't match. This includes name, address, date of birth and email address. If a date of birth is missing, you'll need to update one of your accountsTo update your Avios account you can contact us at help@avios.com. You could be getting an error message because your Iberia account was opened less than 3 months ago. If none of the above apply please contact us on 0214 277 555"		ZAWEB;ZAMOB	Account Information	Transfer Avios										23/09/2015	Alicia Price
za123	"My Avios haven't appeared on my account, what should I do?"	missing lost received not no points where recover 	"If you're missing Avios, click here to use the Missing Avios tool. Alternatively, any queries relating to the award of Avios should be addressed to Avios Group (AGL) Ltd as set out under the Terms and Conditions. "		ZAWEB;ZAMOB	Account Information	Missing Avios										01/12/2014	Emma Simpson
za79	Can I combine my Avios UK and Avios South Africa accounts?		It's not possible to combine Avios between the two schemes as they are entirely separate. If you are going to be moving permanently to either country please call us on 0214 277 555 or email help@avios.com. 		ZAWEB;ZAMOB	Account Information	Merge Account										23/09/2015	Alicia Price
za111	Why do I have an Avios card?	membership	You can use your Avios card to collect Avios when you fill up with fuel at BP. 		ZAWEB;ZAMOB	Account Information	Avios Card										23/05/2014	Emma Simpson
za51	Can I change my address if I'm moving overseas?		"If you're moving abroad, but intend on coming back to South Africa and using your Avios account again, we can put a mail stop on your account. This way you won't get lots of post from us while you're away. However, you'll still only be able to collect Avios if you're resident in South Africa."		ZAWEB;ZAMOB	Account Information	My Account										16/08/2013	George
za49	Can I use the Avios I collect on my card to pay for things in store?		It's not possible to use your Avios to pay for items in store. You can collect Avios and build up your balance through our various collection partners. You'll then be able to use your Avios towards a great selection of worldwide flights. 		ZAWEB;ZAMOB	Account Information	Avios Card										24/11/2014	Emma Simpson
qed009	"I've just joined Avios, will I get an Avios Card?"	membership number replacement account	"A membership card isn't required to collect Avios so you won't receive a card in the postYou can view all the ways to collect with us and find out how by clicking here. You can view your membership number under the My Account section of our websiteIf you would like to request a membership card to keep as a record of your membership number, click here to chat with us now and we'll order your card for you. We're open 8am - 8pm Monday to Friday, 9am - 5pm Saturday and 10am - 4pm Sunday.If you'd prefer to contact us by telephone or email, please click here."		GBMOB;GBWEB	Account Information	Avios Card										07/06/2016	Alicia Price
bg8	Can I transfer my Avios to someone else's Avios account?	GIVE AWAY friend family died deceased death share sharing inherit inherited	"No, Avios are non-transferable and cannot be moved to an account in another name. However, you're welcome to use your Avios to make bookings for your friends or family. You can do this online by selecting 'Add new passenger' at the Traveller Details stage of your booking. Please make sure that you check the spelling of the name matches exactly to what appears on the passport. If your friends or family are calling us to make a booking  and would like to use Avios from your account, we'll just need to speak to you over the telephone for Data Protection and to get your permission."		GBMOB;GBWEB;ZAWEB;ZAMOB	Account Information	Transfer Avios										24/11/2014	Emma Simpson
bg217	How do I make a change to my Household account?	split close change name house	"To change your address, email address or telephone number  - log in on the 'My Account' tab of our website, click on 'Your personal details' and make your changes.  To amend your name - you'll need to write into us (with evidence of your name change such as marriage certificate or deed poll).  To remove a member or close an account - you'll need to download our form and post it to us. Go to 'My account' tab, then click on 'Create a household account'. You can then download the relevant form directly from our website. "		GBMOB;GBWEB	Account Information	Household Account										30/01/2015	Alicia Price
bg243	Where can I find my Avios balance?	points statement history total transaction point check entries past statements transactions	"We always add your latest Avios balance to your statements. You can also check your up-to-date balance and transactions in the 'My account' page of our website. If you've not logged in before, you'll need to go to 'My account', click 'Set up online' and follow the steps. You'll be able to view your last 12 months or 60 transactions online. "		GBMOB;GBWEB;ZAWEB;ZAMOB	Account Information	My Account										11/12/2014	Emma Simpson
za161	How long does it take for Avios to appear in my account?		"The time it takes varies depending on who you've collected Avios with. If you've collected Avios when you've made a cash booking through us, these will be added to your account within 28 days of your return journey. To check individual partners please go to the 'Collect Avios' tab on our homepage.  If you're missing Avios, please click here for our Missing Avios tool. "		ZAWEB;ZAMOB	Account Information	My Account										11/12/2014	Emma Simpson
qed019	Can I use my card to collect Avios with Tesco and Shell?		"No, your membership card is for reference only.You can continue collecting with Tesco by using your Clubcard and exchanging Clubcard vouchers for Avios and Shell by using your Shell Drivers' Club Card and turning your points into Avios. Tesco and Shell will automatically find your Avios account using your name and address."		GBMOB;GBWEB	Account Information	Avios Card										24/03/2015	Alicia Price
bg2	Why have the Avios I've collected with eStore not appeared in my account?	"missing, estore, returned, merchandise, received, bought, purchase, purchased, stores, store"	"There are several possible reasons: Avios collected through eStore may not appear in your account until 35 days after the date of your purchase. If you return an item and get a refund, the Avios collected will be removed from your Avios account.To collect Avios while shopping online, you must go to the retailer's site via our Avios eStore. If you visit a retailer's site directly, without having first logged into the Avios website and clicked through from our eStore, we will be unable to track your purchases and add your Avios to your account.Increasingly, some advert blocking software programs have been known to block the special tracking codes (COOKIES) that we need to monitor in order to award your Avios. If you can't see your Avios in your account 35 days after your purchase, please complete the 'Missing Avios' form by logging in to our eStore and clicking the Missing Avios link. "		GBMOB;GBWEB	Account Information	Missing Avios										12/04/2016	Matthew Brown
za18	Can I merge the Avios in my British Airways Executive Club and Avios accounts?	transfer combine move ba exec link	"You can't merge your account but it is possible to transfer your main Avios balance from a British Airways Executive Club account to an Avios account in your name, or vice versa, via our website.To transfer all or part of your Avios balance between your British Airways Executive Club account and your Avios account, simply log in to your account online and hold your mouse over the 'My Account' tab to bring up the menu and then click on 'Combine my Avios'Clicking this link will guide you through the rest of the process, which only takes a minute or two to complete and will allow you to move your Avios either to or from your British Airways Executive Club account. The Combine my Avios tool isn't currently available on mobile devices. The details on both accounts must match for the Combine my Avios link to appear. These details are your name, address, date of birth and your email address. Combine my Avios isn't available if you have a household account.You can do it as many times as you wantYou can move them back againThere are no feesThere are no limitsYou can use your Avios straight awayPlease note: Moving Avios between your accounts doesn't count as collection and therefore won't affect whether you're eligible for the Reward Flight Saver."		ZAWEB;ZAMOB	Account Information	Merge Account										16/02/2016	Alicia Price
bg210	Can I merge the Avios in my British Airways Executive Club and Avios accounts?	"combine, transfer, BA, exec, executive, link"	"You can transfer your main Avios balance from a British Airways Executive Club account to an Avios account in your name, or vice versa. This won't happen automatically, but you can do it yourself via our website.To transfer all or part of your Avios balance between your British Airways Executive Club account and your Avios account, simply log in to your account online and hold your mouse over the 'My Account' tab to bring up the menu and then click on 'Combine my Avios'. Clicking this link will guide you through the rest of the process, which only takes a minute or two to complete and will allow you to move your Avios either to or from your British Airways Executive Club account. The Combine my Avios tool isn't currently available on mobile devices. The Combine my Avios link will only appear if all details, including your surname, date of birth and e-mail address are on your account, and you're not in a household account. If you're in a household account then please contact us.You can do it as many times as you wantYou can move them back againThere are no feesThere are no limitsYou can use your Avios straight awayPlease note: Moving Avios between your accounts doesn't count as collection and therefore won't affect whether you're eligible for the Reward Flight Saver."		GBMOB;GBWEB	Account Information	Merge Account										16/02/2016	Alicia Price
bg244	Can I update my address online if I have a BFPO (British Forces Post Office) address?		"Sorry, we can't change these online - please contact us and we'll update your account for you."		GBMOB;GBWEB	Account Information	My Account										16/02/2016	Alicia Price
bg5	How long does it take for Avios to appear in my account?	time whe	"The time it takes varies depending on who you've collected Avios with. If you've collected Avios when you've made a cash booking through us, these will be added to your account within 28 days of your return journey. To check individual partners please go to the 'Collect Avios' pages on our website. If you're missing Avios, please use our Missing Avios tool. "		GBMOB;GBWEB	Account Information	My Account										12/12/2014	Emma Simpson
qed030	Why am I getting an error message when transferring my Avios from British Airways or Iberia?		"You may be receiving an error message for a number of reasons.All details on your accounts do not match with each other. This includes name, address, date of birth and email address.There may be a date of birth missing from one or both of your accounts. In order to continue you must update one of your accounts. To update your Avios account you can contact us.Your Avios account is part of a household account. Please contact us for help.Your Iberia account was opened less than 3 months ago. Your Iberia Plus account must be over 3 months old in order to transfer your Avios.If none of the above apply please contact us."		GBMOB;GBWEB	Account Information	Transfer Avios										16/02/2016	Alicia Price
qed023	What should I do if members of our Household Account have received more than one card?		We may have duplicate records for individual members of your Household Account. The individual member with the duplicate account will need to contact us so we can add this back into the Household Account.		GBMOB;GBWEB	Account Information	Avios Card										16/02/2016	Alicia Price
bg7	How do my Avios get to my account?	link collect	"This depends on who you are collecting Avios with.With Lloyds or TSB, once you have signed up, we will add any Avios collected to your account automatically within 28 days.With Tesco, you need to exchange Clubcard vouchers for Avios.With Shell you need to choose Avios as your reward.To find out how to collect with other partners go to Collect Avios on our website and click on the relevant brand."		GBMOB;GBWEB	Account Information	My Account										16/02/2016	Alicia Price
za50	Can I get a replacement Avios Card?	lost membership cards	You can pick up a replacement Avios Card at any participating BP service station. Remember to activate it online at www.avios.com/activate for Avios to be added to your account. To view all participating service stations click here and you'll see the 'Service Station Locator' towards the bottom of the page.		ZAWEB;ZAMOB	Account Information	Avios Card										16/02/2016	Alicia Price
za112	How can I check my account balance?	"statement, statements, history, transaction, transactions"	"You can check your up-to-date balance by logging into the 'My account' page of our website using your chosen username and password. If you haven't set up your account online yet, then please click here and the follow the steps."		ZAWEB;ZAMOB	Account Information	My Account										16/02/2016	Alicia Price
bg6	Who can check the balance on my Avios account?	data protectio	"To follow Data Protection Act requirements, we only give details to the account holder. When you call us to discuss your account, we will ask you a number of security questions to confirm you are the account holder. You should not tell anyone your username and password."		GBMOB;GBWEB;ZAWEB;ZAMOB	Account Information	My Account										29/01/2014	
qed004	Can I get a replacement Avios Card?	lost membership membershipcard second new card replace	An Avios card is not required to collect or spend Avios. You can still find your membership number in your account or on any email we've sent you.		GBMOB;GBWEB	Account Information	Avios Card										09/05/2016	Daniel Patterson
za17	How do I transfer Avios to BA Exec Club?	combine link move join 	"You can transfer your Avios to your BA Executive Club account. This won't happen automatically but you can do this yourself online.Log in to Avios.com, click on 'My Account' , 'Combine my Avios', then follow the steps. You will be given the option to select 'Avios to British Airways' once you have logged into your BA account - you can do it as many times as you want. And you can move them back again. You can use the Avios straight away and there will be no fee and no limit. The link will not appear if the date of birth is missing from your account. To add a date of birth to your account, email us at help@avios.com."		ZAWEB;ZAMOB	Account Information	Transfer Avios										10/03/2015	Alicia Price
